text,sentiment_malaya,sentiment_cgpt,sentiment_hand
"Bahaya tau, kalau cara terbaik cuba horn kerata tu... Insha Allah suspek lari",positive,negative,neutral
Kenapa baru skng ada kt recommended YouTube aku😂,neutral,positive,positive
maaf kc.. sepatutnya..semasa..live..tu.kc.berjalan depan amber court..jgn pasang... sound..bole.dgr..lg jelas..d sekitar...Sy peminat..tegar..kc.chmpion..good.luck,negative,positive,positive
I love Najwa..haha..,positive,positive,positive
Semoga Allah lindungi kita semua,positive,positive,positive
Terhibur sgt2,positive,positive,positive
?camana 10 juta ni x faham,negative,neutral,neutral
Jahanam lagu raya,neutral,negative,negative
sllu tggu2 lgu ni kuar radio law otw dlm keta..hilg boring n enjoy..hehehe,negative,positive,positive
"Suara kelaut, Lirik boleh diterima dan tarian dengan baju jangan harap buang je dekat tong sampah.",negative,positive,negative
"Selepas tengok ni, terus aku nak upgrade tinted gelas aku ke tahap lasak ni,and hantuk hantuk pun tak pecah 😂",negative,positive,negative
Seramm,neutral,negative,negative
sakai ko senyap stop for to condemm artiste at malysia and singapore before i slap you better shut up......,negative,negative,negative
tapi okay perh suara dierh? ada banyak likes dah.,positive,positive,positive
Kesini gara gara meme revival evos vs rrq,negative,neutral,neutral
Mg almarhumah husnul khatimah dan dterima disisi-Nya 🤲,positive,positive,negative
Mata kucing tu bergerak lh kc...😲😱😵😵😱😵,negative,negative,neutral
"Innalilahi wainnailaihi roji'un, semoga husnul khotimah, Aamiin ya robbal'alamin 🤲",positive,positive,negative
"Bagoooossss!!! Kali ni raya tahun ni lagi best bile pakai baju raya yang ketat, sendat nampak badan sambil menari seperti pondan! Aliff Syukri, be an adult k? Don't use this pondan² baju ketat² ni tak macho, ye? Lagi² raya, memang kena halaulah ko dari Malaysia ni haaaaaa",negative,negative,positive
terbaik.....lagu raya ni....Dato' pyanyi no 1 Malaysia ❤️❤️❤️❤️❤️,negative,positive,positive
Sotong kena cili mengeletik joget aduii,negative,negative,negative
MEROSAKAN BAJU MELAYU KITA . CIBAI,negative,negative,negative
Bestt gileeeee...sleeq n najwa bestt,positive,positive,positive
"InsyaAllah syurga buat isterimu tuan. Kepada yg hantar sihir tu,terima lah azab mensyirikkan dan menyekutukan Allah.",positive,negative,positive
"best ,lah lagu ni......",positive,positive,positive
Done unlike,neutral,negative,negative
"kau yg dajal! ada dlm hadist. org yg menjudge sesuatu kaum itu kafir. maka sbnrnya dialah yg kafir. 

tkd beza ngan pasal ni. klo kau ckp kitorg dajjal. means kau yg dajjal!",negative,negative,negative
Seems like encourage to me! satu malaysia menyokong perepuan perempuan di akuarium! ,positive,positive,positive
yahhhh lagu CEMEN gni di bilang best ??????  jelek dah gtu suara jga pas pas'an gni bsa terkenal ???,neutral,negative,negative
"""ADIK KU comel memakai baju kebaya berseri-seri wajah di hari raya,AKU TERGODA""PART ni je aku tidak setuju ngan lagu ni💀Cannot brainlh, ngan adik pun......",negative,negative,positive
8.3m dah view...,neutral,positive,positive
Ow nie ke ramai yang ckp pkai baju ketat jgn dtg raya uma dia org😂,negative,negative,negative
Siapa tau cerita yang Puteri Balqis berlakon jadi anak angkat org kaya ada lagu ni cerita favourite masa saya kecik 😔😭,positive,negative,positive
"... ok im a singaporean, and i don't understand malay, so could anyone explain to me what this is about?",neutral,neutral,neutral
Alfatihah buat abam..gelak dlm sedih.. Tenang la dikau disana..,positive,negative,negative
"suara dah kene edit pon nak bangga..kalau suara tu dah macam taikk tu,macam taik jelaa..ni penyanyi sampah no 1..dato paling bengap dekat malaysia",negative,negative,negative
Saya rindu abam Siape rindu abam👇,positive,positive,negative
ahh ahh ahh ... apa benda bunyi..😂🎉🎉🎉,negative,positive,positive
Yaya lagu kegemaran saya,neutral,positive,positive
Allahuakbar Subhanallah.. semoga arwah ditempatkan bersama orang-orang yang beriman.,positive,positive,negative
Lirik sedap di dngr🎉🎉,neutral,positive,positive
Sedap lagu ni.. sesuai didengari seisi keluarga... Lontaran suara yg padu.. lirik yg bermakna.. tahniah dato.. ( tranfer sikit dato' dah puji ni.. ),positive,positive,positive
Kelakar minit 2.18,neutral,positive,positive
best cgt lagu nie . . . sy ske . . .,positive,positive,positive
Turut duka cita semoga husnul khotimah. Semoga ditempatkan disurganya Alloh swt amin,positive,positive,negative
Stop Making Stupid People Famous - Deddy Corbuzier-,negative,negative,negative
"Aku pun boleh nyanyi macam ni.. ""kakak dan abang..."" sambil tutup hidung🤣",neutral,positive,positive
"itu bukan mercedes........
",negative,negative,neutral
ohh facebook itu muka buku,neutral,neutral,neutral
Ya Allah hanya engkau yang dapat membalas buatan mereka,positive,positive,neutral
Tang cort tu best.. mmg meriah ar lagu rasa kali ni.. Dato makin maju n padu.,positive,positive,positive
Sedap dato..tapi lagi sedap kalau muzik je..,positive,positive,positive
"untuk mama,,, untuk mama,,untuk mama...<3",positive,positive,positive
Kalau aku bukak lagu ni kat hospital. Mesti orang yang tengah koma terus bangun pecahkan phone aku.,negative,negative,negative
Congrats for left the radio! We'll Miss you brother kc,positive,positive,positive
Ni lagu x jadi raya,neutral,negative,negative
"aq buka video ni, blm 3 saat play aq terus stop. yg penting baca komen je. nk play takut x jadi pulak aq nk raya thn ni lps dgr dan tgk video ni. silap² aq blh jd kemurungan beserta sembelit. ok, done komen.",positive,negative,negative
Jumpa balik lagu ni old gila lagu ni aku pernah dengar lagu ni kat henpon nokia aku,neutral,positive,neutral
Lagu ok best dato tp baju je X kne...,positive,negative,negative
Still better tune than modern song nowdays,neutral,positive,positive
bestnye lg nie..,positive,positive,positive
"2:23 cute
",neutral,positive,positive
"HD HD, suka lagu nie",neutral,positive,positive
